code,tm,signal_name,period,chg_pct_4,chg_pct_8,chg_pct_16,chg_pct_20,chg_pct_24
002466.XSHE,2018-02-26 11:30:00,Gold,60m,-0.0327278677794,0.0134184257896,0.0109638357061,-0.00360006545574,-0.00703649157257
002466.XSHE,2018-02-26 15:00:00,Death,60m,-0.000835701153268,0.0481363864282,0.0310880829016,0.021728229985,0.000334280461307
000651.XSHE,2018-02-27 10:30:00,Death,60m,-0.0151602379582,-0.00537324889656,-0.00498944540395,-0.020725388601,-0.0032623296872
601398.XSHG,2018-02-27 11:30:00,Death,60m,-0.00616332819723,-0.0138674884438,-0.0277349768875,-0.0215716486903,-0.0154083204931
002028.XSHE,2018-02-27 14:00:00,Gold,60m,-0.00480769230769,0.00540865384615,0.0384615384615,0.0210336538462,0.0270432692308
600085.XSHG,2018-02-28 10:30:00,Death,60m,0.00156152404747,-0.00749531542786,0.000936914428482,0.00999375390381,0.0437226733292
002415.XSHE,2018-02-28 11:30:00,Death,60m,0.0345731998093,0.0104911778732,0.00834525512637,-0.00786838340486,-0.0035765379113
300187.XSHE,2018-02-28 14:00:00,Death,60m,0.0143266475645,0.0,-0.00191021967526,0.000955109837631,0.0191021967526
600703.XSHG,2018-03-01 10:30:00,Death,60m,-0.0356037151703,-0.0251547987616,0.00812693498452,-0.0193498452012,0.0243808049536
002466.XSHE,2018-03-01 10:30:00,Gold,60m,-0.0195587544985,-0.0366139884212,-0.0444374902206,-0.0821467688938,-0.0710373963386
002415.XSHE,2018-03-01 11:30:00,Gold,60m,-0.0232772528232,-0.0262733348698,-0.0410232772528,-0.0368748559576,0.00207421064761
002236.XSHE,2018-03-02 10:30:00,Death,60m,-0.0181754631248,0.00838867528836,-0.0265641384131,0.00978678783642,0.0325061167424
002415.XSHE,2018-03-02 11:30:00,Death,60m,-0.00306748466258,-0.00212364322794,-0.0139216611609,0.0259556394526,0.0195847097688
002466.XSHE,2018-03-02 14:00:00,Death,60m,0.00837575956643,0.00213499753654,-0.0312038101494,-0.0152734439153,0.0381014944983
000651.XSHE,2018-03-02 15:00:00,Gold,60m,-0.0235294117647,0.00675024108004,0.0210221793635,0.0270009643202,0.0270009643202
000651.XSHE,2018-03-05 15:00:00,Death,60m,0.0310092830338,0.0213312265455,0.0517479755086,0.0517479755086,0.0426624530911
600703.XSHG,2018-03-06 11:30:00,Gold,60m,-0.00154142581888,-0.0208092485549,0.0327552986513,0.0161849710983,0.00269749518304
002028.XSHE,2018-03-06 11:30:00,Death,60m,0.0105882352941,0.0,0.00117647058824,-0.0247058823529,-0.0211764705882
600085.XSHG,2018-03-06 11:30:00,BottomDivergence,60m,0.00715619166148,0.037025513379,0.0395146235221,0.0348475420037,0.0152457996266
600085.XSHG,2018-03-06 11:30:00,Gold,60m,0.00715619166148,0.037025513379,0.0395146235221,0.0348475420037,0.0152457996266
601398.XSHG,2018-03-06 14:00:00,Gold,60m,0.016,0.0048,-0.0032,-0.0032,-0.0128
601398.XSHG,2018-03-06 15:00:00,Death,60m,-0.0202492211838,-0.0233644859813,-0.0249221183801,-0.0404984423676,-0.0389408099688
000651.XSHE,2018-03-06 15:00:00,Gold,60m,-0.00938697318008,0.0141762452107,0.0201149425287,0.0113026819923,0.0245210727969
601398.XSHG,2018-03-07 10:30:00,Gold,60m,-0.0140186915888,-0.0233644859813,-0.0295950155763,-0.0420560747664,-0.0373831775701
600703.XSHG,2018-03-07 15:00:00,Death,60m,0.0355731225296,0.0814229249012,0.0272727272727,0.0225296442688,0.0221343873518
000006.XSHE,2018-03-08 11:30:00,Death,60m,-0.0325203252033,-0.0209059233449,-0.0580720092915,-0.102206736353,-0.0998838559814
300187.XSHE,2018-03-08 15:00:00,Gold,60m,0.00940733772342,0.00846660395108,-0.0235183443086,-0.0338664158043,-0.0244590780809
600703.XSHG,2018-03-09 11:30:00,Gold,60m,0.00600600600601,-0.0101351351351,-0.0289039039039,-0.0476726726727,-0.039039039039
002236.XSHE,2018-03-09 11:30:00,Gold,60m,0.00782046922815,-0.0173410404624,-0.0506630397824,-0.0795647738864,-0.0836450187011
002415.XSHE,2018-03-09 14:00:00,Gold,60m,0.00347141865309,-0.00439713029391,-0.0148113862532,-0.0476741495024,-0.029159916686
002466.XSHE,2018-03-12 10:30:00,Gold,60m,0.000640614990391,0.0253042921204,-0.00400384368994,-0.00992953235106,-0.0339525944907
601398.XSHG,2018-03-12 15:00:00,Death,60m,-0.0159744408946,-0.0143769968051,-0.0319488817891,-0.0111821086262,-0.00159744408946
600085.XSHG,2018-03-13 11:30:00,Death,60m,-0.0189416716777,-0.0171377029465,0.0105231509321,0.0294648226097,0.0123271196633
600703.XSHG,2018-03-13 14:00:00,Death,60m,-0.0170454545455,-0.0121212121212,-0.0306818181818,-0.00719696969697,-0.00909090909091
